item_id,item_type,date,title,sources,article_ids,likely_primary_source,sample_summary
EVT-A184,anchor_event,2013-12-16,GAStech IPO,Central Bulletin; Homeland Illumination; News Desk; News Online Today; The Abila Post; The Explainer; The General Post; The Light of Truth; The Tulip; The World; Who What News,1;86;223;326;348;360;375;525;559;618;673;679;711;713;764;834,The General Post,"President and CEO of GAStech international Sten Sanjorge Jr can add another description to his name: multimillionaire. And not only a multimillionaire, almost multimillionaire excessive of like parts "
EVT-A185,anchor_event,2013-12-16,IPO 后高管巨额收益披露,All News Today; Athena Speaks; Central Bulletin; Homeland Illumination; News Desk; News Online Today; The Abila Post; The General Post; The Light of Truth; The Tulip; The World; The Wrap; Who What News,1;86;138;152;170;223;360;375;500;525;559;618;681;682;713,Homeland Illumination,"In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing ch"
EVT-0165,cross_source_story,2014-01-20,WRAP UP OF EVENTS AT GASTECH,Athena Speaks; Central Bulletin; International News; Kronos Star; News Online Today; The Abila Post; The Explainer; The General Post; The Guide; The Light of Truth; The Truth; The Tulip; The World; Who What News,107;145;29;291;326;431;461;469;49;494;516;607;673;679;7;712;715,The Abila Post,"A long tense day of conflicting reports and confusing information has come to an end. What we know for certain is that 14 GAStech employees are not only missing, but kidnapped as confirmed by a Kronos"
EVT-0169,cross_source_story,2014-01-20,TOP EVENTS WITH GASTECH,Athena Speaks; News Desk; The Explainer; Worldwise,140;397;402;594;818,Athena Speaks,"A long day of the contradictory reports and muddling information finished. What we know for certain that 14 employees of GAStech missing, as confirmed by a source of government of Kronos. Currently it"
EVT-0171,cross_source_story,2014-01-20,GASTECH LEADERSHIP CONFIRMED MISSING,Central Bulletin; News Online Today; The Abila Post,170;63;713,Central Bulletin,"Miriam Avila, an administrative assistant at GAStech International, has confirmed that members of the GAStech leadership are in fact missing. The group was expected to arrive at the Government recepti"
EVT-0173,cross_source_story,2014-01-20,VOICES - a blog approximately that what is important to people,Centrum Sentinel,490;749;828,Centrum Sentinel,1356 - The means that the taken ones has marked GAStech-Tethys have confirmed a sure number of employs missing of GAStech.
EVT-A186,anchor_event,2014-01-20,2014-01-20 GAStech 总部会议,Central Bulletin; International News; Kronos Star; News Online Today; The Abila Post; The Explainer; The Guide; The Truth,40;62;127;174;240;298;340;344;368;436;463;481;618;660;689;692;764;834;837,Kronos Star,"Local GAStech executives Ingrid Barranco, Ada Campo-Corrente, Orhan Strum, and Willem Vasco-Pais will attend a reception with government officials tomorrow following a business meeting at their headqu"
EVT-A187,anchor_event,2014-01-20,GAStech 高管失踪/绑架,Athena Speaks; Central Bulletin; Centrum Sentinel; Everyday News; Homeland Illumination; International News; International Times; Kronos Star; Modern Rubicon; News Desk; News Online Today; Tethys News; The Abila Post; The Continent; The Explainer; The General Post; The Guide; The Light of Truth; The Truth; The Tulip; The World; Who What News; World Journal; World Source; Worldwise,7;29;43;49;53;62;63;76;87;94;106;107;140;145;167;169;170;172;173;219;245;250;261;262;274;276;291;298;310;326;329;344;359;372;384;396;397;400;430;431;460;461;463;469;481;485;494;507;516;518;525;536;555;594;598;599;607;613;655;673;674;676;678;679;689;693;712;713;715;733;752;761;776;787;813;818;822;824;838,Modern Rubicon,1245 - I REDEEM DEMANDS FROM POK - the protections of Kronos has freed a supporting responsibility of declaration of the kidnapping of employs you of GAStech that they demand I redeem $20 million.
EVT-A188,anchor_event,2014-01-20,POK 声称绑架责任,Homeland Illumination; International News; International Times; Kronos Star; Modern Rubicon; News Online Today; Tethys News; The Abila Post; The Continent; The General Post; The Guide; The Truth; The World; Who What News; Worldwise,29;62;106;145;167;172;173;219;245;261;274;310;359;372;431;461;463;481;536;594;607;674;689;693;776;824;838,Modern Rubicon,1245 - I REDEEM DEMANDS FROM POK - the protections of Kronos has freed a supporting responsibility of declaration of the kidnapping of employs you of GAStech that they demand I redeem $20 million.
TL-107,timeline,2014-01-20,KIDNAPPING IN GASTECH KRONOS,The General Post,107,The General Post,"After a long day to be in conflict and the confused information of information continue being incomplete, only history is beginning to come clearly: a source of the government of Kronos has confirmed "
TL-138,timeline,2014-01-20,DISAPPEARED CONFIRMED BY CONTROL FROM GASTECH,Athena Speaks,138,Athena Speaks,"Miriam Avila, an administrative assistant at international GAStech, confirmed that the members of the control of GAStech are in fact missing. One expected that arrives at the reception of government f"
