case_id,topic,date,primary_source,primary_article_id,primary_source_type,derivative_source,derivative_article_id,derivative_source_type,bias_type,bias_direction,severity_label,severity_score_1_to_5,framing_or_label_change,certainty_change,primary_summary,derivative_summary,bias_analysis,coding_note,primary_file,derivative_file
CURATED-01,POK 抗议 GAStech（2009-02）,2009-02-18,Kronos Star,168,primary_local,Worldwise,808,derivative_international,环境诉求弱化或选择性保留; 翻译扭曲/语言质量降低,pro-GAStech / anti-POK,medium,3,lawful rally/trespassing -> safety/security risk,无明显变化,Dozens of protesters attending a Protectors of Kronos (POK) rally in front of the GAStech regional headquarters in Abila were arrested for trespassing this morning. The POK rally was intended to draw attention to their claims of...,Dozen protesters being present guards of gathering of Kronos (POK) in front of the regional registered offices of GAStech in Abila was stopped for enfreindre this morning. The gathering of POK was designed to call the attention to their...,Primary 使用 lawful rally、trespassing 等中性法律措辞；Derivative 出现 enfreindre、protestateurs 等翻译错误，且更强调 GAStech 员工可能受伤，弱化 POK 环保诉求。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/Kronos Star/168.txt,MC1/News Articles/Worldwise/808.txt
CURATED-02,Elian Karel 之死与骚乱（2009-06）,2009-06-20,The Abila Post,185,primary_local,The Guide,162,derivative_international,标签化/污名化; 环境诉求弱化或选择性保留,anti-POK / pro-government; anti-GAStech / pro-victim,high,4,protest context -> violence against innocent citizens,无明显变化,"Protests erupted around the Kronos government buildings, downtown, and elsewhere around Abila eventually escalating into riots and violence. The activists are protesting the death yesterday of Elian Karel, a Protector of Kronos (POK)...","A meeting of hundreds of protestors allied with ""protectors the movement of Kronos"" given return to the violence today as the angry activists expressed their displeasure in the innocent citizens of Abila after hearing the news of the death...",Primary 明确 Karel 死于狱中、提及 Juliana 污染受害者；Derivative 将抗议者描述为对 innocent citizens 施暴，倾向政府视角。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/The Abila Post/185.txt,MC1/News Articles/The Guide/162.txt
CURATED-03,Kapelou 称 POK 为罪犯（2012-06）,2012-06-22,Kronos Star,541,primary_local,Worldwise,792,derivative_international,标签化/污名化; 翻译扭曲/语言质量降低,anti-POK / pro-government,high,4,见bias_analysis原文,无明显变化,"In a press release today, President Kapelou today called the POK ""a gang of criminals, thugs, and malcontents who have become a pestilence to our peaceful way of life."" President Kapelou's comments come after a POK demonstration turned...","In a press release today today, President Kapelou called the POK ""a troop of the criminals, gangsters, and the dissatisfied ones who became a plague with our peaceful way of life."" The comments of the President Kapelou come after a...",同一总统言论：Primary 完整引用 criminals/gangsters；Derivative 语法混乱但同样强化 criminal 框架，无 POK 立场平衡。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/Kronos Star/541.txt,MC1/News Articles/Worldwise/792.txt
CURATED-04,GAStech IPO（2013-12）,2013-12-18,The General Post,223,primary_local,The Light of Truth,1,derivative_international,财富叙事夸大,anti-GAStech / anti-executive,medium,3,multimillionaire -> billionaire,无明显变化,"President and CEO of GAStech international Sten Sanjorge Jr can add another description to his name: multimillionaire. And not only a multimillionaire, almost multimillionaire excessive of like parts twice sold international of GAStech in...","The president and CEO of GAStech international Sten Sanjorge, Jr. can add another description to his name: billionaire. And not only one billionaire, almost a billionaire surplus of twice like international sold shares of GAStech in a...",Primary 称 multimillionaire；Derivative 升级为 billionaire，夸大财富叙事，可能强化「贪婪」公众印象。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/The General Post/223.txt,MC1/News Articles/The Light of Truth/1.txt
CURATED-05,高管失踪确认（2014-01-20）,2014-01-20,The Abila Post,713,primary_local,International Times,167,derivative_international,标签化/污名化; 确定性升级; 环境诉求弱化或选择性保留; 财富叙事夸大,anti-POK / pro-government; anti-GAStech / pro-victim; anti-GAStech / anti-executive,high,4,missing/suspected -> kidnapped/terrorist,suspected/denied/uncertain -> confirmed/kidnapped,"Miriam Avila, an administrative assistant at GAStech International, has confirmed that members of the GAStech leadership are in fact missing. The group was expected to arrive at the Government reception following this morning's meeting at...","Fourteen employees feared kidnapped in Kronos by a radical environmental terrorist group during a corporate gathering. Fourteen employees, including possibly five executive officers, are feared kidnapped yesterday by the ""Protectors of...",Primary 引用公司行政人员否认绑架、披露 IPO 财富细节；Derivative 直接用 Kidnapped、radical environmental terrorist group，并点名 POK 赎金。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/The Abila Post/713.txt,MC1/News Articles/International Times/167.txt
CURATED-06,绑架事件总结（2014-01-20）,2014-01-20,News Online Today,7,aggregator,International News,29,derivative_international,确定性升级,anti-POK / pro-government,high,4,missing/suspected -> kidnapped/terrorist,suspected/denied/uncertain -> confirmed/kidnapped,"A long tense day of conflicting reports and confusing information has come to an end. What we know for certain is that 14 GAStech employees are not only missing, but kidnapped as confirmed by a Kronos Government source. Edvard Vann, a...",The Protectors of Kronos (POK) are suspected of kidnapping up to fourteen GAStech employees from their headquarters building earlier today. Abila police quickly secured the building and interviewed the remaining GAStech employees. One...,Aggregator 称政府源确认 kidnapped、保安指 POK 涉案；International News 标题直接 POK Kidnaps，未保留信息不确定性。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/News Online Today/7.txt,MC1/News Articles/International News/29.txt
CURATED-07,POK 纪念 Karel（2012-06）,2012-06-20,Homeland Illumination,18,primary_local,The Orb,662,derivative_international,环境诉求弱化或选择性保留; 翻译扭曲/语言质量降低,pro-GAStech / anti-POK,medium,3,见bias_analysis原文,无明显变化,"In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in a Kronos jail. ""Today we gather to...","In the chiefs moving one Wednesday of ceremony of the guards of group of activist of Kronos poured the homage on their fallen chief, Elian Karel, which was assassinated on June 19, 2009 while being illegally held in prison of Kronos....",Primary 用 touching ceremony、martyred leader、environmental catastrophe；Derivative 翻译腔严重，弱化纪念仪式的正当性。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/Homeland Illumination/18.txt,MC1/News Articles/The Orb/662.txt
CURATED-08,GAStech 企业形象（2013）,2013-02-24,The General Post,223,primary_local,World Journal,648,derivative_international,翻译扭曲/语言质量降低; 财富叙事夸大,anti-GAStech / anti-executive,medium,3,见bias_analysis原文,无明显变化,"President and CEO of GAStech international Sten Sanjorge Jr can add another description to his name: multimillionaire. And not only a multimillionaire, almost multimillionaire excessive of like parts twice sold international of GAStech in...","It is the largest company in Kronos, the third larger company of gas on planet, and they is years of fifty-three. In the past it had a reputation as corrupted and ambient harmful, but nowadays GAStech, the old businesses of Tethys-only,...",Primary（IPO 语境）强调 Sanjorge 成功与 multimillionaire；Derivative 强调 corrupted、eco-hostile past，对 GAStech 历史更负面且语法混乱。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/The General Post/223.txt,MC1/News Articles/World Journal/648.txt
CURATED-09,Elodis 污染调查（1998-03）,1998-03-19,Homeland Illumination,69,primary_local,News Online Today,4,aggregator,环境诉求弱化或选择性保留,anti-GAStech / pro-victim,medium,3,见bias_analysis原文,无明显变化,"This article is the first installment of a three-part series addressing the growing problem of one community's anguish, government malfeasance, and the alarming influence of multinational corporations on the country of Kronos. ELODIS,...","NOTE: This article is the second in a series, reprinted with permission from the Homeland Illumination. Bodrogi has farmed soybeans his entire life, as did his father and their fathers. ""We've worked the land for a long time - maybe 200...",Primary 为深度调查系列，引用 Henk Bodrogi 与 Reese 编辑；Aggregator 转载但可能删减政府 malfeasance 论述。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/Homeland Illumination/69.txt,MC1/News Articles/News Online Today/4.txt
CURATED-10,Tiskele 设施抗议（2005-04）,2005-04-05,Homeland Illumination,221,primary_local,The Wrap,17,derivative_international,框架差异/需人工复核,anti-POK / pro-government,low,2,见bias_analysis原文,无明显变化,Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility. Protesters arrived pre-dawn to lock arms and...,Fifteen members of the guards of Kronos the activist organization (of POK) was arrested Kronos federal police force yesterday after a dispute at the ports of the facility of GAStech of bending Tiskele. Protesters came close weapons to...,Primary 描述抗议者 orderly、singing；Derivative 出现 came close weapons 等不准确表述，丑化 POK。,根据bias_analysis半自动归纳；可直接做偏见类型统计图，但正式提交建议人工复核。,MC1/News Articles/Homeland Illumination/221.txt,MC1/News Articles/The Wrap/17.txt
