case_id,topic,date,primary_source,primary_article_id,primary_file,derivative_source,derivative_article_id,derivative_file,bias_analysis
CURATED-01,POK 抗议 GAStech（2009-02）,2009-02-18,Kronos Star,168,MC1/News Articles/Kronos Star/168.txt,Worldwise,808,MC1/News Articles/Worldwise/808.txt,Primary 使用 lawful rally、trespassing 等中性法律措辞；Derivative 出现 enfreindre、protestateurs 等翻译错误，且更强调 GAStech 员工可能受伤，弱化 POK 环保诉求。
CURATED-02,Elian Karel 之死与骚乱（2009-06）,2009-06-20,The Abila Post,185,MC1/News Articles/The Abila Post/185.txt,The Guide,162,MC1/News Articles/The Guide/162.txt,Primary 明确 Karel 死于狱中、提及 Juliana 污染受害者；Derivative 将抗议者描述为对 innocent citizens 施暴，倾向政府视角。
CURATED-03,Kapelou 称 POK 为罪犯（2012-06）,2012-06-22,Kronos Star,541,MC1/News Articles/Kronos Star/541.txt,Worldwise,792,MC1/News Articles/Worldwise/792.txt,同一总统言论：Primary 完整引用 criminals/gangsters；Derivative 语法混乱但同样强化 criminal 框架，无 POK 立场平衡。
CURATED-04,GAStech IPO（2013-12）,2013-12-18,The General Post,223,MC1/News Articles/The General Post/223.txt,The Light of Truth,1,MC1/News Articles/The Light of Truth/1.txt,Primary 称 multimillionaire；Derivative 升级为 billionaire，夸大财富叙事，可能强化「贪婪」公众印象。
CURATED-05,高管失踪确认（2014-01-20）,2014-01-20,The Abila Post,713,MC1/News Articles/The Abila Post/713.txt,International Times,167,MC1/News Articles/International Times/167.txt,Primary 引用公司行政人员否认绑架、披露 IPO 财富细节；Derivative 直接用 Kidnapped、radical environmental terrorist group，并点名 POK 赎金。
CURATED-06,绑架事件总结（2014-01-20）,2014-01-20,News Online Today,7,MC1/News Articles/News Online Today/7.txt,International News,29,MC1/News Articles/International News/29.txt,Aggregator 称政府源确认 kidnapped、保安指 POK 涉案；International News 标题直接 POK Kidnaps，未保留信息不确定性。
CURATED-07,POK 纪念 Karel（2012-06）,2012-06-20,Homeland Illumination,18,MC1/News Articles/Homeland Illumination/18.txt,The Orb,662,MC1/News Articles/The Orb/662.txt,Primary 用 touching ceremony、martyred leader、environmental catastrophe；Derivative 翻译腔严重，弱化纪念仪式的正当性。
CURATED-08,GAStech 企业形象（2013）,2013-02-24,The General Post,223,MC1/News Articles/The General Post/223.txt,World Journal,648,MC1/News Articles/World Journal/648.txt,Primary（IPO 语境）强调 Sanjorge 成功与 multimillionaire；Derivative 强调 corrupted、eco-hostile past，对 GAStech 历史更负面且语法混乱。
CURATED-09,Elodis 污染调查（1998-03）,1998-03-19,Homeland Illumination,69,MC1/News Articles/Homeland Illumination/69.txt,News Online Today,4,MC1/News Articles/News Online Today/4.txt,Primary 为深度调查系列，引用 Henk Bodrogi 与 Reese 编辑；Aggregator 转载但可能删减政府 malfeasance 论述。
CURATED-10,Tiskele 设施抗议（2005-04）,2005-04-05,Homeland Illumination,221,MC1/News Articles/Homeland Illumination/221.txt,The Wrap,17,MC1/News Articles/The Wrap/17.txt,Primary 描述抗议者 orderly、singing；Derivative 出现 came close weapons 等不准确表述，丑化 POK。
