source,source_type,article_count,date_min,date_max,stance_score_0_pro_gov_gastech_10_pro_pok,stance_label,pro_gov_gastech_score_0_to_10,pro_pok_or_anti_gov_score_0_to_10,reliability_hint,language_quality_or_derivative_risk,stance_confidence,coding_basis,bias_case_counts,top_topics,top_entities,review_status
All News Today,aggregator,18,1993-02-02,2014-01-19,7,偏受害者/质疑政府,3,7,中等偏低：聚合源，需追溯原始来源,中等风险：需追溯,medium,整理文档偏见光谱,,environment(9); security(7); protest(6); business(5); legal(2),Elodis(13); POK(11); Government(9); GAStech(7); Elian Karel(5),usable_initial
Athena Speaks,primary_local,25,1997-04-24,2014-01-20,7,偏POK同情/公民权益,3,7,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,low,用户设定与整理文档,,business(11); environment(10); security(10); protest(9); kidnapping(4),Government(20); GAStech(15); Abila(14); POK(11); Elodis(9),needs_manual_review
Central Bulletin,primary_local,21,1997-04-23,2014-01-20,2,亲政府/建制倾向,8,2,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,high,整理文档与报道框架,,security(11); environment(9); business(8); protest(7); ipo(3),Government(17); GAStech(13); POK(12); Abila(10); Elodis(8),usable_initial
Centrum Sentinel,primary_institutional,36,2014-01-20,2014-01-21,3,偏机构/商业视角,7,3,中等：机构/公司/母国口径，需注意利益立场,较低风险：一手文本为主,medium,primary_institutional,,business(25); security(11); kidnapping(9),GAStech(20); Abila(9); Government(7); Tethys(4); Sten Sanjorge(2),usable_initial
Daily Pegasus,primary_local,26,1993-02-04,2014-03-26,5,本地一手/待人工复核,5,5,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,low,source_type默认估计,,environment(16); protest(12); business(12); security(9); legal(4),Elodis(19); Government(16); POK(14); Abila(13); GAStech(11),needs_manual_review
Everyday News,primary_local,15,1982-10-03,2014-03-26,5,本地一手/待人工复核,5,5,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,low,source_type默认估计,,business(9); environment(8); protest(8); security(8); legal(1),Government(11); GAStech(10); Tethys(8); Abila(7); Sten Sanjorge(5),needs_manual_review
Homeland Illumination,primary_local,64,1993-02-02,2014-01-21,6,环境调查/同情受害者,4,6,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,medium,Q2环境调查案例,used_as_primary_evidence(3),business(25); security(22); environment(15); protest(11); kidnapping(11),GAStech(33); Abila(24); Government(23); Elodis(21); POK(17),usable_initial
International News,derivative_international,20,1993-01-19,2014-01-21,4,国际衍生/确定性升级风险,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,medium,Q2绑架案例,anti_POK_or_pro_gov(1),security(12); business(9); protest(8); kidnapping(3); environment(2),Government(13); POK(12); Abila(11); GAStech(8); President Kapelou(4),usable_initial
International Times,derivative_international,14,1982-10-02,2014-01-21,4,国际衍生/标题升级风险,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,medium,Q2绑架案例,anti_POK_or_pro_gov(1); anti_GAStech_or_pro_POK(1),environment(8); security(8); business(6); protest(6); legal(1),GAStech(10); Government(10); Tethys(7); Abila(7); Sten Sanjorge(6),usable_initial
Kronos Star,primary_local,62,1993-01-18,2014-01-21,3,本地主流/偏政府秩序框架,7,3,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,medium,本地一手+政府/警务发言常见,used_as_primary_evidence(2),security(33); business(26); kidnapping(12); protest(10); environment(5),GAStech(45); Abila(23); Government(21); POK(18); President Kapelou(11),usable_initial
Modern Rubicon,primary_local,30,2014-01-20,2014-01-21,5,本地一手/待人工复核,5,5,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,low,source_type默认估计,,business(17); security(11); kidnapping(7); protest(2); ipo(1),GAStech(26); Abila(14); Government(9); Tethys(4); Sten Sanjorge(3),needs_manual_review
News Desk,aggregator,25,1997-04-25,2014-01-20,5,独立/事件导向,5,5,中等偏低：聚合源，需追溯原始来源,中等风险：需追溯,low,整理文档,,security(15); business(10); environment(9); protest(8); kidnapping(3),Government(20); GAStech(15); Abila(13); POK(11); Elodis(9),needs_manual_review
News Online Today,aggregator,111,1982-10-03,2014-01-21,5,聚合/中性偏转载,5,5,中等偏低：聚合源，需追溯原始来源,中等风险：需追溯,medium,aggregator,used_as_primary_evidence(1); anti_GAStech_or_pro_POK(1),security(37); protest(28); business(24); environment(18); kidnapping(8),Government(47); POK(46); GAStech(44); Abila(31); Elodis(24),usable_initial
Tethys News,primary_institutional,35,2014-01-20,2014-01-20,3,偏GAStech/Tethys视角,7,3,中等：机构/公司/母国口径，需注意利益立场,较低风险：一手文本为主,high,机构/母国视角,,business(17); security(16); kidnapping(9),GAStech(35); Abila(8); Government(4); Sten Sanjorge(3); POK(3),usable_initial
The Abila Post,primary_local,54,1997-04-23,2014-01-21,5,本地一手/较平衡,5,5,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,medium,Q2 primary案例,used_as_primary_evidence(2),security(25); business(23); kidnapping(13); environment(10); protest(10),GAStech(40); Government(28); Abila(27); POK(17); Elodis(9),usable_initial
The Continent,derivative_international,15,1982-10-03,2014-03-26,4,国际衍生/需追溯原始来源,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,source_type默认估计,,environment(10); business(8); protest(8); security(8); legal(1),Government(11); GAStech(10); Abila(8); Tethys(7); Sten Sanjorge(5),needs_manual_review
The Explainer,derivative_international,25,1997-04-25,2014-01-20,4,国际衍生/需追溯原始来源,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,source_type默认估计,,security(15); protest(9); environment(8); business(7); kidnapping(3),Government(19); GAStech(15); Abila(13); POK(13); Elodis(9),needs_manual_review
The General Post,primary_local,19,1992-12-13,2014-01-21,5,本地一手/待人工复核,5,5,较高：本地一手报道，但可能有政治立场,较低风险：一手文本为主,low,source_type默认估计,used_as_primary_evidence(2),environment(8); business(6); security(4); protest(4); ipo(2),GAStech(18); Government(14); Sten Sanjorge(13); Abila(5); Tethys(5),needs_manual_review
The Guide,derivative_international,28,1993-01-19,2014-01-21,3,商业/秩序框架偏强,7,3,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,medium,Q2案例,anti_POK_or_pro_gov(1); anti_GAStech_or_pro_POK(1),security(15); protest(12); business(9); environment(4); kidnapping(3),Abila(18); Government(17); POK(14); GAStech(11); President Kapelou(10),usable_initial
The Light of Truth,derivative_international,19,1992-12-12,2014-01-21,8,偏POK/反政府,2,8,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,high,整理文档偏见光谱,anti_GAStech_or_pro_POK(1),business(8); environment(8); protest(3); ipo(3); security(2),GAStech(18); Government(14); Sten Sanjorge(13); Abila(6); Tethys(5),usable_initial
The Orb,derivative_international,26,1993-02-03,2014-01-19,4,国际衍生/需追溯原始来源,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,source_type默认估计,anti_POK_or_pro_gov(1),protest(12); environment(11); business(10); security(9); legal(5),Elodis(19); Government(16); Abila(13); POK(13); GAStech(11),needs_manual_review
The Truth,derivative_international,28,1993-01-20,2014-01-21,4,国际衍生/需追溯原始来源,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,source_type默认估计,,security(15); business(14); protest(11); environment(4); kidnapping(3),Government(18); Abila(16); POK(14); GAStech(11); President Kapelou(10),needs_manual_review
The Tulip,derivative_international,19,1992-12-12,2014-01-21,4,国际衍生/需追溯原始来源,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,source_type默认估计,,environment(9); business(8); security(5); protest(3); ipo(3),GAStech(18); Government(14); Sten Sanjorge(12); Abila(6); Tethys(5),needs_manual_review
The World,derivative_international,17,1992-12-11,2014-01-21,5,国际中性/商业事件导向,5,5,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,medium,整理文档偏见光谱,,environment(7); business(5); ipo(3); protest(2); security(2),GAStech(16); Government(12); Sten Sanjorge(12); Abila(6); Tethys(5),usable_initial
The Wrap,derivative_international,26,1993-02-04,2014-01-19,6,质疑/事件调查倾向,4,6,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,整理文档,anti_POK_or_pro_gov(1),business(12); environment(10); protest(10); security(9); legal(6),Elodis(19); Government(16); Abila(13); POK(13); GAStech(11),needs_manual_review
Who What News,derivative_international,15,1992-12-12,2014-01-21,7,偏POK同情/人物视角,3,7,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,用户设定,,environment(6); business(5); protest(3); security(2); ipo(2),GAStech(14); Government(10); Sten Sanjorge(9); Abila(6); Tethys(3),needs_manual_review
World Journal,derivative_international,15,1982-10-04,2014-03-26,4,国际衍生/转述,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,source_type默认,anti_GAStech_or_pro_POK(1),environment(9); protest(9); business(8); security(7); legal(2),Government(11); GAStech(10); Tethys(8); Abila(8); Sten Sanjorge(5),needs_manual_review
World Source,derivative_international,9,1982-10-02,2014-01-21,4,国际衍生/需追溯原始来源,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,low,source_type默认估计,,environment(6); security(5); protest(4); business(2); kidnapping(1),GAStech(6); Government(6); Tethys(5); POK(4); Abila(4),needs_manual_review
Worldwise,derivative_international,28,1993-01-20,2014-01-21,4,国际衍生/翻译偏移,6,4,较低到中等：国际转载/翻译源，需检查语义偏移,高风险：可能有机器翻译/标题升级,medium,Q2 derivative案例,anti_POK_or_pro_gov(2); anti_GAStech_or_pro_POK(1),security(15); business(13); protest(11); environment(4); kidnapping(3),Government(18); Abila(16); POK(14); GAStech(11); President Kapelou(10),usable_initial
