event_id,date,date_precision,event_title,event_type,narrative_lines,narrative_line_names,importance,importance_score_1_to_5,related_entities,related_locations,source_count,sources,article_ids,likely_primary_source,evidence_summary,key_quote_or_summary,source_file,review_status
EVT-0001,1982-10-02,day,Centrum's central role in the Tethan Gas Industry,cross_source_story,1,商业利益线,medium,3,GAStech|Government|Sten Sanjorge|Tethys|Centrum,Tethys|Centrum,2,International Times; World Source,638;728,International Times,"The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area. One of t","The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area. One of t",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0002,1982-10-03,day,Central paper of the center in the industry of the gas of Tethan,cross_source_story,1,商业利益线,medium,3,GAStech|Government|Sten Sanjorge|Tethys,Tethys,2,Everyday News; The Continent,214;796,Everyday News,"The world of the gas distant, difficult and is thrown far. In Tethys some years ago, I traveled laborious to the gas fields moved away of Tethys to watch a new debatable area of the energy production.","The world of the gas distant, difficult and is thrown far. In Tethys some years ago, I traveled laborious to the gas fields moved away of Tethys to watch a new debatable area of the energy production.",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0003,1984-05-03,day,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,cross_source_story,2,环境冲突线,medium,3,GAStech|Tethys|Government|Sten Sanjorge,Tethys,2,International Times; World Source,564;751,World Source,<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a ven,<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a ven,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0003,1984-05-03,day,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,cross_source_story,3,组织对抗线,medium,3,GAStech|Tethys|Government|Sten Sanjorge,Tethys,2,International Times; World Source,564;751,World Source,<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a ven,<<Deleted Image: Anti-offshore drilling protester. Exploration has proved a controversial issue in Kronos>> Continue reading the main story The son of the founder of gas firm GAStech is planning a ven,narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0004,1984-05-05,day,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,cross_source_story,2,环境冲突线,medium,3,GAStech|Government|Sten Sanjorge|Tethys,Tethys,2,Everyday News; The Continent,496;784,Everyday News,<<Deleted image: Demonstrator whom it perforates of Anti-offshore. The exploration has proven an controversial edition in Kronos>> To continue reading main history The son of the founder of the compan,<<Deleted image: Demonstrator whom it perforates of Anti-offshore. The exploration has proven an controversial edition in Kronos>> To continue reading main history The son of the founder of the compan,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0004,1984-05-05,day,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,cross_source_story,3,组织对抗线,medium,3,GAStech|Government|Sten Sanjorge|Tethys,Tethys,2,Everyday News; The Continent,496;784,Everyday News,<<Deleted image: Demonstrator whom it perforates of Anti-offshore. The exploration has proven an controversial edition in Kronos>> To continue reading main history The son of the founder of the compan,<<Deleted image: Demonstrator whom it perforates of Anti-offshore. The exploration has proven an controversial edition in Kronos>> To continue reading main history The son of the founder of the compan,narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0005,1992-12-12,day,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,cross_source_story,1,商业利益线,medium,3,Government,,2,News Online Today; Who What News,380;473,News Online Today,The Government of Kronos is currently planning some of the world's most generous tax breaks for gas investments. The Government of Kronos is pitching the plan as a win-win situation given that the hig,The Government of Kronos is currently planning some of the world's most generous tax breaks for gas investments. The Government of Kronos is pitching the plan as a win-win situation given that the hig,narrative_line_1_商业利益线.csv,auto_clustered
EVT-0006,1993-01-19,day,Government Announces Tax Incentives For Foreign Investment,cross_source_story,1,商业利益线,medium,3,Government,,3,International News; News Online Today; The Guide,103;226;641,News Online Today,Today the Parliament voted 86 to 14 in favor of President Araullo's package of tax incentives designed to lure foreign investment to our fair country.,Today the Parliament voted 86 to 14 in favor of President Araullo's package of tax incentives designed to lure foreign investment to our fair country.,narrative_line_1_商业利益线.csv,auto_clustered
EVT-0007,1993-01-20,day,The government announces the incentives of the tax for foreign investment,cross_source_story,1,商业利益线,medium,3,Government,,2,The Truth; Worldwise,632;755,The Truth,"Today the parliament that 86 up to 14 in favor of the parcel of president Araullo's of tax incentives becomes that is devised voted to tempt foreign investment to our honest country. Tomas Sarto, mini","Today the parliament that 86 up to 14 in favor of the parcel of president Araullo's of tax incentives becomes that is devised voted to tempt foreign investment to our honest country. Tomas Sarto, mini",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0008,1993-02-02,day,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,cross_source_story,1,商业利益线,medium,3,Government,,2,All News Today; Homeland Illumination,152;681,Homeland Illumination,"In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing ch","In a glitzy press conference late last year President Luis Araullo announced a historic set of tax incentives intended to bring foreign investment to Kronos under the guise creating jobs, providing ch",narrative_line_1_商业利益线.csv,auto_clustered
